year,month,day,hour,DBT,DPT,RH,p_atm,extr_hor_rad,hor_ir_rad,glob_hor_rad,dir_nor_rad,dif_hor_rad,glob_hor_ill,dir_nor_ill,dif_hor_ill,Zlumi,wind_dir,wind_speed,tot_sky_cover,Oskycover,Vis,Cheight,PWobs,PWcodes,Pwater,AsolOptD,SnowD,DaySSnow,fake_year,month_names,DOY,UTC_time,times,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time,erf,delta_mrt,MRT,wind_speed_utci,wind_speed_utci_0,utci_noSun_Wind,utci_noSun_noWind,utci_Sun_Wind,utci_Sun_noWind,utci_noSun_Wind_categories,utci_noSun_noWind_categories,utci_Sun_Wind_categories,utci_Sun_noWind_categories,p_sat,p_vap,hr,t_wb,t_dp,h,adaptive_comfort,adaptive_cmf_80_low,adaptive_cmf_80_up,adaptive_cmf_90_low,adaptive_cmf_90_up,adaptive_cmf_rmt
1996,1,1,1,-2.8,-3.9,91.0,94100.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,4.1,10.0,10.0,777.7,90.0,9.0,999999999.0,89.0,0.057,0.0,88.0,year,Jan,1,2019-01-01 00:00:00+00:00,2019-01-01 07:00:00+00:00,160.01857623257365,160.01857623257365,-70.01857623257366,-70.01857623257366,14.920044860151904,-3.334389604628086,0.0,0.0,-2.8,4.1,0.5,-14.8,-1.6,-14.8,-1.6,-3,-2,-3,-2,484.1,440.53100000000006,0.0027159926012000923,-3.6,-4.1,3967.77,20.9,17.4,24.4,18.4,23.4,9.9
1996,1,1,2,-2.8,-3.9,91.0,94100.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,4.6,10.0,10.0,11.3,240.0,9.0,999999999.0,89.0,0.057,0.0,88.0,year,Jan,1,2019-01-01 01:00:00+00:00,2019-01-01 08:00:00+00:00,154.15562729394094,154.15562729394094,-64.15562729394092,-64.15562729394092,47.623476926973524,-3.3541441168199526,0.0,0.0,-2.8,4.6,0.5,-16.5,-1.6,-16.5,-1.6,-3,-2,-3,-2,484.1,440.53100000000006,0.0027159926012000923,-3.6,-4.1,3967.77,20.9,17.4,24.4,18.4,23.4,9.9
1996,1,1,3,-2.8,-4.5,87.0,94100.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,5.6,10.0,10.0,16.1,510.0,9.0,999999999.0,100.0,0.057,0.0,88.0,year,Jan,1,2019-01-01 02:00:00+00:00,2019-01-01 09:00:00+00:00,144.77012206970943,144.77012206970943,-54.77012206970944,-54.77012206970944,67.81872546438058,-3.373890153459797,0.0,0.0,-2.8,5.6,0.5,-19.7,-1.6,-19.7,-1.6,-3,-2,-3,-2,484.1,421.16700000000003,0.0025961100076346954,-3.9,-4.7,3668.55,20.9,17.4,24.4,18.4,23.4,9.9
1996,1,1,4,-2.8,-4.5,87.0,94100.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,5.6,10.0,10.0,16.1,330.0,9.0,999999999.0,100.0,0.057,0.0,88.0,year,Jan,1,2019-01-01 03:00:00+00:00,2019-01-01 10:00:00+00:00,134.1108098121718,134.1108098121718,-44.110809812171794,-44.110809812171794,81.40655221960492,-3.3936276732420083,0.0,0.0,-2.8,5.6,0.5,-19.7,-1.6,-19.7,-1.6,-3,-2,-3,-2,484.1,421.16700000000003,0.0025961100076346954,-3.9,-4.7,3668.55,20.9,17.4,24.4,18.4,23.4,9.9
1996,1,1,5,-2.8,-3.9,91.0,94100.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,3.6,10.0,10.0,16.1,210.0,9.0,999999999.0,100.0,0.057,0.0,88.0,year,Jan,1,2019-01-01 04:00:00+00:00,2019-01-01 11:00:00+00:00,123.08037835013506,123.08037835013506,-33.080378350135064,-33.080378350135064,92.06302018091827,-3.4133566347736632,0.0,0.0,-2.8,3.6,0.5,-13.0,-1.6,-13.0,-1.6,-3,-2,-3,-2,484.1,440.53100000000006,0.0027159926012000923,-3.6,-4.1,3967.77,20.9,17.4,24.4,18.4,23.4,9.9
1996,1,1,6,-2.8,-3.9,91.0,94100.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,3.6,10.0,10.0,16.1,150.0,9.0,999999999.0,100.0,0.057,0.0,88.0,year,Jan,1,2019-01-01 05:00:00+00:00,2019-01-01 12:00:00+00:00,112.10908900621412,112.10908900621412,-22.109089006214116,-22.109089006214116,101.5308122555897,-3.433076996025193,0.0,0.0,-2.8,3.6,0.5,-13.0,-1.6,-13.0,-1.6,-3,-2,-3,-2,484.1,440.53100000000006,0.0027159926012000923,-3.6,-4.1,3967.77,20.9,17.4,24.4,18.4,23.4,9.9
1996,1,1,7,-2.8,-3.9,91.0,94100.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,7.2,10.0,10.0,11.3,90.0,9.0,999999999.0,100.0,0.057,0.0,88.0,year,Jan,1,2019-01-01 06:00:00+00:00,2019-01-01 13:00:00+00:00,101.49326709318235,101.49326709318235,-11.493267093182352,-11.493267093182352,110.75421748963845,-3.452788715640054,0.0,0.0,-2.8,7.2,0.5,-23.8,-1.6,-23.8,-1.6,-3,-2,-3,-2,484.1,440.53100000000006,0.0027159926012000923,-3.6,-4.1,3967.77,20.9,17.4,24.4,18.4,23.4,9.9
1996,1,1,8,-3.4,-5.0,87.0,94100.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,5.1,9.0,9.0,16.1,1500.0,9.0,999999999.0,89.0,0.057,0.0,88.0,year,Jan,1,2019-01-01 07:00:00+00:00,2019-01-01 14:00:00+00:00,91.51962632033995,91.51962632033995,-1.5196263203399571,-1.5196263203399571,120.36293086701039,-3.4724917522071337,0.0,0.0,-3.4,5.1,0.5,-19.0,-2.3,-19.0,-2.3,-3,-2,-3,-2,460.3,400.461,0.002467969982800714,-4.5,-5.3,2743.65,20.9,17.4,24.4,18.4,23.4,9.9
1996,1,1,9,-3.4,-5.0,87.0,94100.0,84.0,260.0,33.0,103.0,26.0,3505.0,3792.0,3238.0,473.0,320.0,4.6,9.0,9.0,16.1,1260.0,9.0,999999999.0,89.0,0.057,0.0,88.0,year,Jan,1,2019-01-01 08:00:00+00:00,2019-01-01 15:00:00+00:00,82.41034923341887,82.52654834534752,7.589650766581128,7.473451654652486,130.85270285002264,-3.492186063751433,28.0,6.4,3.0000000000000004,4.6,0.5,-17.4,-2.3,-15.3,0.2,-3,-2,-3,-1,460.3,400.461,0.002467969982800714,-4.5,-5.3,2743.65,20.9,17.4,24.4,18.4,23.4,9.9
1996,1,1,10,-2.3,-4.5,83.0,94100.0,281.0,273.0,62.0,0.0,62.0,6989.0,0.0,6989.0,2208.0,330.0,8.2,10.0,10.0,16.1,660.0,9.0,999999999.0,89.0,0.057,0.0,88.0,year,Jan,1,2019-01-01 09:00:00+00:00,2019-01-01 16:00:00+00:00,74.8785285848382,74.93930035544375,15.1214714151618,15.060699644556248,142.61488444131083,-3.5118716088400106,0.0,0.0,-2.3,8.2,0.5,-25.3,-1.2,-25.3,-1.2,-3,-2,-3,-2,504.9,419.06699999999995,0.002583111665594529,-3.7,-4.8,4140.44,20.9,17.4,24.4,18.4,23.4,9.9
